LabelNr,English,Dutch
328,Spare328,Spare328
329,Spare329,Spare329
330,Top mold pressure,Spare330
331,Top mold flow,Spare331
332,Top mold time,Spare332
333,Bottom mold pressure,Spare333
334,Bottom mold flow,Spare334
335,Bottom mold time,Spare335
336,Pressure down lock,Spare336
337,Pressure down open,Spare337
338,Flow down lock,Spare338
339,Flow down open,Spare339
340,Time down lock,Spare340
341,Time down open,Spare341
342,Time up,Spare342
343,Time up slow,Spare343
344,Time down,Spare344
345,Time down slow,Spare345
346,Spare346,Spare346
347,Spare347,Spare347
348,Spare348,Spare348
349,Spare349,Spare349
350,Positions,Spare350
351,Rest front,Spare351
352,Rest back,Spare352
353,Start flash spraying forward,Spare353
354,Stop flash spraying forward,Spare354
355,Start wire spraying forward,Spare355
356,Stop wire spraying forward,Spare356
357,Start flash spraying backwd,Spare357
358,Stop flash spraying backwd,Spare358
359,Start wire spraying backwd,Spare359
360,Stop wire spraying backwd,Spare360
361,Actual measured position,Spare361
362,Spare362,Spare362
363,Spare363,Spare363
364,Spare364,Spare364
365,Speeds,Spare365
366,Manual speed,Spare366
367,Automatic speed,Spare367
368,Spare368,Spare368
369,Spare369,Spare369
370,Timing,Spare370
371,Spray delay time,Spare371
372,Wire spray interval,Spare372
373,Flash spray interval,Spare373
374,Spare374,Spare374
375,Top mold valves,Spare375
376,Bottom mold valves,Spare376
377,Top mold hydraulics,Spare377
378,Bottom mold hydraulics,Spare378
379,Pressure relief,Spare379
380,Lock,Spare380
381,Relief,Spare381
382,Spare382,Spare382
383,Spare383,Spare383
384,Spare384,Spare384
385,Machine pond valves,Spare385
386,Pulp feeding,Spare386
387,Drain valve,Spare387
388,Hydraulic pump,Spare388
389,Forming valves,Spare389
390,Hydraulic pump manual control,Spare390
391,Spare391,Spare391
392,Spare392,Spare392
393,Spare393,Spare393
394,Spare394,Spare394
395,Spare395,Spare395
396,Spare396,Spare396
397,Spare397,Spare397
398,Spare398,Spare398
399,Spare399,Spare399
400,Offset position settings,Spare400
401,Top mold A offset zero,Spare401
402,Top mold b offset zero,Spare402
403,Bottom mold A offset zero,Spare403
404,Bottom mold B offset zero,Spare404
405,Spare405,Spare405
406,Spare406,Spare406
407,Spare407,Spare407
408,Spare408,Spare408
409,Spare409,Spare409
410,Enable heating,Spare410
411,Heating,Spare411
412,Spare412,Spare412
413,Spare413,Spare413
414,Spare414,Spare414
415,Spare415,Spare415
416,Spare416,Spare416
417,Spare417,Spare417
418,Spare418,Spare418
419,Spare419,Spare419
420,Spare420,Spare420
421,Spare421,Spare421
422,Spare422,Spare422
423,Spare423,Spare423
424,Spare424,Spare424
425,Spare425,Spare425
426,Spare426,Spare426
427,Spare427,Spare427
428,Spare428,Spare428
429,Spare429,Spare429
430,Spare430,Spare430
431,Spare431,Spare431
432,Spare432,Spare432
433,Spare433,Spare433
434,Spare434,Spare434
435,Spare435,Spare435
436,Spare436,Spare436
437,Spare437,Spare437
438,Spare438,Spare438
439,Spare439,Spare439
440,Spare440,Spare440
441,Spare441,Spare441
442,Spare442,Spare442
443,Spare443,Spare443
444,Spare444,Spare444
445,Spare445,Spare445
446,Spare446,Spare446
447,Spare447,Spare447
448,Spare448,Spare448
449,Spare449,Spare449
450,Spare450,Spare450
451,Spare451,Spare451
452,Spare452,Spare452
453,Spare453,Spare453
454,Spare454,Spare454
455,Spare455,Spare455
456,Spare456,Spare456
457,Spare457,Spare457
458,Spare458,Spare458
459,Spare459,Spare459
460,Spare460,Spare460
461,Spare461,Spare461
462,Spare462,Spare462
463,Spare463,Spare463
464,Spare464,Spare464
465,Spare465,Spare465
466,Spare466,Spare466
467,Spare467,Spare467
468,Spare468,Spare468
469,Spare469,Spare469
470,Spare470,Spare470
471,Spare471,Spare471
472,Spare472,Spare472
473,Spare473,Spare473
474,Spare474,Spare474
475,Spare475,Spare475
476,Spare476,Spare476
477,Spare477,Spare477
478,Spare478,Spare478
479,Spare479,Spare479
480,Spare480,Spare480
481,Spare481,Spare481
482,Spare482,Spare482
483,Spare483,Spare483
484,Spare484,Spare484
485,Spare485,Spare485
486,Spare486,Spare486
487,Spare487,Spare487
488,Spare488,Spare488
489,Spare489,Spare489
490,Spare490,Spare490
491,Spare491,Spare491
492,Spare492,Spare492
493,Spare493,Spare493
494,Spare494,Spare494
495,Spare495,Spare495
496,Spare496,Spare496
497,Spare497,Spare497
498,Spare498,Spare498
499,Spare499,Spare499
500,Top mold A - Position down slow,Spare500
501,Top mold A - Position down stop,Spare501
