locale, en-US
264,Offset slow range
265,position offset alarm
266,Spare266
267,Spare267
268,Spare268
269,Spare269
270,Spare270
271,Spare271
272,Spare272
273,Spare273
274,Spare274
275,Timing
276,Transfer mold transfer time
277,Transfer mold up wait time
278,Forming time
279,Blow off time
280,Travel down time
281,Pre ignition down time
282,Spare282
283,Spare283
284,Spare284
285,Valves
286,Vacuum valve
287,Blowoff valve
288,Cylinder
289,Hydraulic cylinder
290,Up
291,Down
292,Slow
293,On
294,Air Cylinder
295,Spare295
296,Spare296
297,Spare297
298,Spare298
299,Spare299
300,Machine pond positions
301,Machine pond down stop
302,Machine pond down slow
303,Machine pond up stop
304,Machine pond up slow
305,Machine pond offset slow range
306,Machine pond offset alarm range
307,Spare307
308,Spare308
309,Spare309
310,Forming mold settings
311,Forming mold vacuum time
312,Forming mold vac. Time flash
313,Forming mold bubble time
314,Forming mold blow off time
315,Forming mold blow after time
316,Spare316
317,Spare317
318,Spare318
319,Spare319
320,Machine pond timing
321,Pond up wait time
322,Feeding pulp time
323,Spare323
324,Spare324
325,Guard time drain cylinder
326,Guard time pulp feeding valve
327,Spare327
328,Spare328
329,Spare329
330,Top mold pressure
331,Top mold flow
332,Top mold time
333,Bottom mold pressure
334,Bottom mold flow
335,Bottom mold time
336,Pressure down lock
337,Pressure down open
338,Flow down lock
339,Flow down open
340,Time down lock
341,Time down open
342,Time up
343,Time up slow
344,Time down
345,Time down slow
346,Spare346
347,Spare347
348,Spare348
349,Spare349
350,Positions
351,Rest front
352,Rest back
353,Start flash spraying forward
354,Stop flash spraying forward
355,Start wire spraying forward
356,Stop wire spraying forward
357,Start flash spraying backwd
358,Stop flash spraying backwd
359,Start wire spraying backwd
360,Stop wire spraying backwd
361,Actual measured position
362,Spare362
363,Spare363
364,Spare364
365,Speeds
366,Manual speed
367,Automatic speed
368,Spare368
369,Spare369
370,Timing
371,Spray delay time
372,Wire spray interval
373,Flash spray interval
374,Spare374
375,Top mold valves
376,Bottom mold valves
377,Top mold hydraulics
378,Bottom mold hydraulics
379,Pressure relief
380,Lock
381,Relief
382,Spare382
383,Spare383
384,Spare384
385,Machine pond valves
386,Pulp feeding
387,Drain valve
388,Hydraulic pump
389,Forming valves
390,Hydraulic pump manual control
391,Spare391
392,Spare392
393,Spare393
394,Spare394
395,Spare395
396,Spare396
397,Spare397
398,Spare398
399,Spare399
400,Offset position settings
401,Top mold A offset zero
402,Top mold b offset zero
403,Bottom mold A offset zero
404,Bottom mold B offset zero
405,Spare405
406,Spare406
407,Spare407
408,Spare408
409,Spare409
410,Enable heating
411,Heating
412,Spare412
413,Spare413
414,Spare414
415,Spare415
416,Spare416
417,Spare417
418,Spare418
419,Spare419
420,Spare420
421,Spare421
422,Spare422
423,Spare423
424,Spare424
425,Spare425
426,Spare426
427,Spare427
428,Spare428
429,Spare429
430,Spare430
431,Spare431
432,Spare432
433,Spare433
434,Spare434
435,Spare435
436,Spare436
437,Spare437
438,Spare438
439,Spare439
440,Spare440
441,Spare441
442,Spare442
443,Spare443
444,Spare444
445,Spare445
446,Spare446
447,Spare447
448,Spare448
449,Spare449
450,Spare450
451,Spare451
452,Spare452
453,Spare453
454,Spare454
455,Spare455
456,Spare456
457,Spare457
458,Spare458
459,Spare459
460,Spare460
461,Spare461
462,Spare462
463,Spare463
464,Spare464
465,Spare465
466,Spare466
467,Spare467
468,Spare468
469,Spare469
470,Spare470
471,Spare471
472,Spare472
473,Spare473
474,Spare474
475,Spare475
476,Spare476
477,Spare477
478,Spare478
479,Spare479
480,Spare480
481,Spare481
482,Spare482
483,Spare483
484,Spare484
485,Spare485
486,Spare486
487,Spare487
488,Spare488
489,Spare489
490,Spare490
491,Spare491
492,Spare492
493,Spare493
494,Spare494
495,Spare495
496,Spare496
497,Spare497
498,Spare498
499,Spare499
500,Top mold A - Position down slow
501,Top mold A - Position down stop
502,Top mold B - Position down slow
503,Top mold B - Position down stop
504,Transfermold - Position transfer slow
505,Transfermold - Position Transfer stop A
506,Transfermold - Position Transfer stop B
507,Transfermold - Position Transfer open
508,Transfermold - Position down slow
509,Transfermold - Position down open
510,Transfermold - Position down stop
511,Spare511
512,Spare512
513,Spare513
514,Spare514
515,Spare515
516,Spare516
517,Spare517
518,Spare518
519,Spare519
520,Spare520
521,Spare521
522,Spare522
523,Spare523
524,Spare524
525,Spare525
526,Spare526
527,Spare527
528,Spare528
529,Spare529
530,Spare530
531,Spare531
532,Spare532
533,Spare533
534,Spare534
535,Spare535
536,Spare536
537,Spare537
538,Spare538
539,Spare539
540,Spare540
541,Spare541
542,Spare542
543,Spare543
544,Spare544
545,Spare545
546,Spare546
547,Spare547
548,Spare548
549,Spare549
550,Spare550
551,Spare551
552,Spare552
553,Spare553
554,Spare554
555,Spare555
556,Spare556
557,Spare557
558,Spare558
559,Spare559
560,Spare560
561,Spare561
562,Spare562
563,Spare563
564,Spare564
565,Spare565
566,Spare566
567,Spare567
568,Spare568
569,Spare569
570,Spare570
571,Spare571
572,Spare572
573,Spare573
574,Spare574
575,Spare575
576,Spare576
577,Spare577
578,Spare578
579,Spare579
580,Spare580
581,Spare581
582,Spare582
583,Spare583
584,Spare584
585,Spare585
586,Spare586
587,Spare587
588,Spare588
589,Spare589
590,Spare590
591,Spare591
592,Spare592
593,Spare593
594,Spare594
595,Spare595
596,Spare596
597,Spare597
598,Spare598
599,Spare599
600,Gantry side A overview
601,Gantry side B overview
602,Gantry side A Manual
603,Gantry side B Manual
604,Gantry side A Settings
605,Gantry side B Settings
606,Spare606
607,Spare607
608,Spare608
609,Spare609
610,Spare610
611,Spare611
612,Spare612
613,Spare613
614,Spare614
615,Spare615
616,Spare616
617,Spare617
618,Spare618
619,Spare619
620,Spare620
621,Spare621
622,Spare622
623,Spare623
624,Spare624
625,Spare625
626,Spare626
627,Spare627
628,Spare628
629,Spare629
630,Spare630
631,Spare631
632,Spare632
633,Spare633
634,Spare634
635,Spare635
636,Spare636
637,Spare637
638,Spare638
639,Spare639
640,Spare640
641,Spare641
642,Spare642
643,Spare643
644,Spare644
645,Spare645
646,Spare646
647,Spare647
648,Spare648
649,Spare649
650,Spare650
651,Spare651
652,Spare652
653,Spare653
654,Spare654
655,Spare655
656,Spare656
657,Spare657
658,Spare658
659,Spare659
660,Spare660
661,Spare661
662,Spare662
663,Spare663
664,Spare664
665,Spare665
666,Spare666
667,Spare667
668,Spare668
669,Spare669
670,Spare670
671,Spare671
672,Spare672
673,Spare673
674,Spare674
675,Spare675
676,Spare676
677,Spare677
678,Spare678
679,Spare679
680,Spare680
681,Spare681
682,Spare682
683,Spare683
684,Spare684
685,Spare685
686,Spare686
687,Spare687
688,Spare688
689,Spare689
690,Spare690
691,Spare691
692,Spare692
693,Spare693
694,Spare694
695,Spare695
696,Spare696
697,Spare697
698,Spare698
699,Spare699
700,Spare700
701,Spare701
702,Spare702
703,Spare703
704,Spare704
705,Spare705
706,Spare706
707,Spare707
708,Spare708
709,Spare709
710,Spare710
711,Spare711
712,Spare712
713,Spare713
714,Spare714
715,Spare715
716,Spare716
717,Spare717
718,Spare718
719,Spare719
720,Spare720
721,Spare721
722,Spare722
723,Spare723
724,Spare724
725,Spare725
726,Spare726
727,Spare727
728,Spare728
729,Spare729
730,Spare730
731,Spare731
732,Spare732
733,Spare733
734,Spare734
735,Spare735
736,Spare736
737,Spare737
738,Spare738
739,Spare739
740,Spare740
741,Spare741
742,Spare742
743,Spare743
744,Spare744
745,Spare745
746,Spare746
747,Spare747
748,Spare748
749,Spare749
750,Spare750
751,Spare751
752,Spare752
753,Spare753
754,Spare754
755,Spare755
756,Spare756
757,Spare757
758,Spare758
759,Spare759
760,Spare760
761,Spare761
762,Spare762
763,Spare763
764,Spare764
765,Spare765
766,Spare766
767,Spare767
768,Spare768
769,Spare769
770,Spare770
771,Spare771
772,Spare772
773,Spare773
774,Spare774
775,Spare775
776,Spare776
777,Spare777
778,Spare778
779,Spare779
780,Spare780
781,Spare781
782,Spare782
783,Spare783
784,Spare784
785,Spare785
786,Spare786
787,Spare787
788,Spare788
789,Spare789
790,Spare790
791,Spare791
792,Spare792
793,Spare793
794,Spare794
795,Spare795
796,Spare796
797,Spare797
798,Spare798
799,Spare799
